ClientName,InstallerURL
Conveyor Services Inc.,https://app.ninjarmm.com/agent/installer/73760b47-fb5f-47e3-8981-53d893e648ad/conveyorservicesincmainofficeb918e5-5.9.1158-windows-installer.msi
D & E Equipment,https://app.ninjarmm.com/agent/installer/cb3e8406-e3ee-4c7a-8c59-bfb63d1879bc/deequipmentmainoffice16f8c9-5.9.1158-windows-installer.msi
Dalton Roofing,https://app.ninjarmm.com/agent/installer/28277244-bce1-40ec-877f-119dd4ea0999/daltonroofingmainoffice113c09-5.9.1158-windows-installer.msi
Derrick,https://app.ninjarmm.com/agent/installer/cafed8f0-67c7-4a0c-ba2c-7a5de32e2ff9/derrickmainoffice614659-5.9.1158-windows-installer.msi
Durr Foundation,https://app.ninjarmm.com/agent/installer/4b785f23-29b0-49f6-98b8-99a0046c7b03/durrfoundationmainoffice4568f2-5.9.1158-windows-installer.msi
EAP,https://app.ninjarmm.com/agent/installer/8f8393f8-b8d3-415b-bf8e-ebd32e68cc79/eapmainofficeb146aa-5.9.1158-windows-installer.msi
Emerald/BCD,https://app.ninjarmm.com/agent/installer/e513311c-627c-483a-8224-f5ca7e5d3b7f/emeraldbcdmainofficecb8777-5.9.1158-windows-installer.msi
Enriching Spaces,https://app.ninjarmm.com/agent/installer/190f977e-988f-4ae6-aaca-6e0692c3b247/enrichingspacesmainoffice5439ec-5.9.1158-windows-installer.msi
ENT,https://app.ninjarmm.com/agent/installer/5a31e508-0fc0-425d-ac28-4399800d9d6f/entmainofficefbd396-5.9.1158-windows-installer.msi
EVERS Steel,https://app.ninjarmm.com/agent/installer/d022a82a-f706-4ad1-bddd-f4161b221a18/everssteelmainoffice2a7c1f-5.9.1158-windows-installer.msi
Fasig,https://app.ninjarmm.com/agent/installer/cee71d07-3a61-42bb-8375-750bbb221721/fasigmainoffice5de092-5.9.1158-windows-installer.msi
Fastemp,https://app.ninjarmm.com/agent/installer/eba38488-a50b-4ef4-9cce-ba8faf840960/fastempmainofficedb6d1d-5.9.1158-windows-installer.msi
Fennell,https://app.ninjarmm.com/agent/installer/15db5a7f-81a4-4c56-8e51-679ad6441e65/fennellmainoffice5f556e-5.9.1158-windows-installer.msi
Fiehrer Motors,https://app.ninjarmm.com/agent/installer/fa872684-a996-45aa-b1a4-2a8dfd2035c9/fiehrermotorsmainoffice6a8ac2-5.9.1158-windows-installer.msi
Finn Graphics,https://app.ninjarmm.com/agent/installer/2c7d0bdd-5876-44c7-8f06-b1db6637a577/finngraphicsmainoffice8d8780-5.9.1158-windows-installer.msi
Fixture Resource Group (FRG),https://app.ninjarmm.com/agent/installer/12d9da11-5ee3-42b0-ab92-a8e747cd9bb8/fixtureresourcegroupfrgmainoffice9d20ce-5.9.1158-windows-installer.msi
Flipside Products,https://app.ninjarmm.com/agent/installer/740082a5-fa5c-4069-b031-d0874997e442/flipsideproductsmainofficeb0db11-5.9.1158-windows-installer.msi
Ford Development,https://app.ninjarmm.com/agent/installer/81099c9c-99a4-4305-ac4f-6838327d16e2/forddevelopmentmainofficea297e2-5.9.1158-windows-installer.msi
Fulcrum Lifting,https://app.ninjarmm.com/agent/installer/3d41739f-e34d-4b85-b773-f0de98afde31/fulcrumliftingmainoffice3aa8b0-5.9.1158-windows-installer.msi
Gallenstein Bros,https://app.ninjarmm.com/agent/installer/4998a1c2-ec9a-4397-be43-0e916f70fb08/gallensteinbrosmainofficefe9f8b-5.9.1158-windows-installer.msi
George Steel,https://app.ninjarmm.com/agent/installer/04130e26-f935-420a-97c6-d7741a6906b7/georgesteelmainoffice7e5583-5.9.1158-windows-installer.msi
Glenmary Home Missioners,https://app.ninjarmm.com/agent/installer/9d3eb850-a48a-47aa-b693-0c3b1eac795b/glenmaryhomemissionersmainoffice51b241-5.9.1158-windows-installer.msi
Glenwood Electric,https://app.ninjarmm.com/agent/installer/abc8153f-b1cd-4f49-9dce-1fbead78ff73/glenwoodelectricmainoffice780f20-5.9.1158-windows-installer.msi
"Graphic Information Systems, Inc.",https://app.ninjarmm.com/agent/installer/9f6977fa-5d79-4751-871e-8ae17e609d21/graphicinformationsystemsincmainoffice0017d9-5.9.1158-windows-installer.msi
Graphic Print Solutions,https://app.ninjarmm.com/agent/installer/867759af-99bc-4a97-9863-7ac323b94fa3/graphicprintsolutionsmainofficed83190-5.9.1158-windows-installer.msi
Haney,https://app.ninjarmm.com/agent/installer/b177dfd9-6539-41e9-a1ce-74b2a57a4805/haneymainoffice2fe85d-5.9.1158-windows-installer.msi
Harrison Building Loan,https://app.ninjarmm.com/agent/installer/c2cee1fb-5523-491d-ab8b-adc0d55ad965/harrisonbuildingloanmainoffice1b6780-5.9.1158-windows-installer.msi
Havels,https://app.ninjarmm.com/agent/installer/dfca861b-4217-4e2e-9fac-6a8a8ba0913d/havelsmainoffice154a8a-5.9.1158-windows-installer.msi
Holthaus Lackner Signs,https://app.ninjarmm.com/agent/installer/e0d80281-0e82-47df-a2bc-9b4f36cdcbc2/holthauslacknersignsmainoffice210f97-5.9.1158-windows-installer.msi
Horizon Infusions,https://app.ninjarmm.com/agent/installer/012bc73c-5b35-45c9-bcc8-b7c2e1211cd8/horizoninfusionsmainoffice9e69cf-5.9.1158-windows-installer.msi
Hosea Project Movers,https://app.ninjarmm.com/agent/installer/48cb0088-9f1a-41fd-8629-ff3937f05b9a/hoseaprojectmoversmainoffice807915-5.9.1158-windows-installer.msi
IEC of Greater Cincinnati,https://app.ninjarmm.com/agent/installer/30785262-939e-4db3-8da5-8212e5f6cbcf/iecofgreatercincinnatimainofficee1b505-5.9.1158-windows-installer.msi
"Information Alternatives, Inc",https://app.ninjarmm.com/agent/installer/1bb7b2d2-53ba-442b-bd74-c4008a602b2f/informationalternativesincmainofficeb3e833-5.9.1158-windows-installer.msi
Integrated Research,https://app.ninjarmm.com/agent/installer/f4a0317c-b226-441e-8895-8c98010251f3/integratedresearchmainofficecc01ed-5.9.1158-windows-installer.msi
JA Interiors,https://app.ninjarmm.com/agent/installer/3df10e51-88fd-4fc6-962a-ab35fc8d59c8/jainteriorsmainofficec5d9f7-5.9.1158-windows-installer.msi
JBS Industries,https://app.ninjarmm.com/agent/installer/ac0313d0-74c3-4bbb-b1f0-9e43a8378d2a/jbsindustriesmainoffice8f5136-5.9.1158-windows-installer.msi
Jeff Ruby,https://app.ninjarmm.com/agent/installer/dbbd96e1-e61d-47b6-8e4e-79d053a9c6c1/jeffrubymainoffice38ba0f-5.9.1158-windows-installer.msi
Jewel-Craft,https://app.ninjarmm.com/agent/installer/41d50226-6cd8-4742-bc98-2d5e28825c23/jewelcraftmainofficebb4dc8-5.9.1158-windows-installer.msi
Kirks Natural,https://app.ninjarmm.com/agent/installer/cea90df4-27de-4ad5-867f-d3001b65ca00/kirksnaturalmainoffice9e68e9-5.9.1158-windows-installer.msi
KURZHALS,https://app.ninjarmm.com/agent/installer/d1f54d24-4d4a-4871-917e-50faa8077e06/kurzhalsmainoffice85df0e-5.9.1158-windows-installer.msi
League for Animal Welfare,https://app.ninjarmm.com/agent/installer/f22ae6bd-492a-43ae-aefe-6aba0f7a4b9e/leagueforanimalwelfaremainoffice0aabbd-5.9.1158-windows-installer.msi
"LISNR, Inc.",https://app.ninjarmm.com/agent/installer/fb16eb90-e94c-463e-a36c-c882f526ccbf/lisnrincmainoffice3ae5a7-5.9.1158-windows-installer.msi
LK Tech,https://app.ninjarmm.com/agent/installer/c18abc1f-224b-42ba-ba52-29d7d78f9ad3/lktechmainoffice3763e9-5.9.1158-windows-installer.msi
LK Technologies DC,https://app.ninjarmm.com/agent/installer/1a3bbf58-143d-4e4e-a968-e2e7c17b37c0/lktechnologiesdcmainoffice32d241-5.9.1158-windows-installer.msi
"Magnum Piering, Inc",https://app.ninjarmm.com/agent/installer/3a886a0b-da2d-4d05-a59a-a8338043626e/magnumpieringincmainofficea0a511-5.9.1158-windows-installer.msi
Mailender,https://app.ninjarmm.com/agent/installer/78b8265e-badf-4208-b8c3-e55d2f8bfd3b/mailendermainofficed1ba57-5.9.1158-windows-installer.msi
Mark Spaulding Construction,https://app.ninjarmm.com/agent/installer/6d1a267f-5219-4f02-ab61-2302a90001bb/markspauldingconstructionmainoffice2eed95-5.9.1158-windows-installer.msi
Mary Queen of Heaven,https://app.ninjarmm.com/agent/installer/704b857e-7ee8-4674-a82e-d2d241a8aa2e/maryqueenofheavenmainofficea3cf46-5.9.1158-windows-installer.msi
McHale's Events & Catering,https://app.ninjarmm.com/agent/installer/96ad466c-4eec-45c1-ab05-5e787d7c1c5f/mchaleseventscateringmainofficed4ab4d-5.9.1158-windows-installer.msi
Megen Construction,https://app.ninjarmm.com/agent/installer/4c25c2f8-3430-4583-864d-efc35ed159e5/megenconstructionmainofficef15c67-5.9.1158-windows-installer.msi
Merling Medical Practice,https://app.ninjarmm.com/agent/installer/c73df5f0-5ab1-49a2-be62-fa9acb161aaa/merlingmedicalpracticemainoffice659231-5.9.1158-windows-installer.msi
Midwest Plumbing,https://app.ninjarmm.com/agent/installer/cd917b13-b890-42b2-b271-96f8da7ee9fd/midwestplumbingmainoffice88adef-5.9.1158-windows-installer.msi
Model Graphics,https://app.ninjarmm.com/agent/installer/0ceed15f-36dd-418a-b0a3-45f26dc49d3f/modelgraphicsmainofficed55707-5.9.1158-windows-installer.msi
Montessori Academy of Cincinnati,https://app.ninjarmm.com/agent/installer/561152ab-1239-4411-96b1-f92fff6501b4/montessoriacademyofcincinnatimainoffice88bc9a-5.9.1158-windows-installer.msi
